npm {"level":"error","message":"","timestamp":"2018-05-18T21:13:25.337Z"}
{"level":"error","message":"Error: listen EADDRINUSE :::8080\n    at Object._errnoException (util.js:1003:13)\n    at _exceptionWithHostPort (util.js:1024:20)\n    at Server.setupListenHandle [as _listen2] (net.js:1367:14)\n    at listenInCluster (net.js:1408:12)\n    at Server.listen (net.js:1496:7)\n    at Function.listen (/Users/Juff/WebstormProjects/prozorroA/node_modules/express/lib/application.js:618:24)\n    at Object.<anonymous> (/Users/Juff/WebstormProjects/prozorroA/server/app.js:188:5)\n    at Module._compile (module.js:660:30)\n    at loader (/usr/local/lib/node_modules/babel-cli/node_modules/babel-register/lib/node.js:144:5)\n    at Object.require.extensions.(anonymous function) [as .js] (/usr/local/lib/node_modules/babel-cli/node_modules/babel-register/lib/node.js:154:7)\n    at Module.load (module.js:573:32)\n    at tryModuleLoad (module.js:513:12)\n    at Function.Module._load (module.js:505:3)\n    at Function.Module.runMain (module.js:701:10)\n    at Object.<anonymous> (/usr/local/lib/node_modules/babel-cli/lib/_babel-node.js:154:22)\n    at Module._compile (module.js:660:30)","timestamp":"2018-05-18T21:13:43.985Z"}
{"level":"error","message":"Error: listen EADDRINUSE :::8080\n    at Object._errnoException (util.js:1003:13)\n    at _exceptionWithHostPort (util.js:1024:20)\n    at Server.setupListenHandle [as _listen2] (net.js:1367:14)\n    at listenInCluster (net.js:1408:12)\n    at Server.listen (net.js:1496:7)\n    at Function.listen (/Users/Juff/WebstormProjects/prozorroA/node_modules/express/lib/application.js:618:24)\n    at Object.<anonymous> (/Users/Juff/WebstormProjects/prozorroA/server/app.js:189:5)\n    at Module._compile (module.js:660:30)\n    at loader (/usr/local/lib/node_modules/babel-cli/node_modules/babel-register/lib/node.js:144:5)\n    at Object.require.extensions.(anonymous function) [as .js] (/usr/local/lib/node_modules/babel-cli/node_modules/babel-register/lib/node.js:154:7)\n    at Module.load (module.js:573:32)\n    at tryModuleLoad (module.js:513:12)\n    at Function.Module._load (module.js:505:3)\n    at Function.Module.runMain (module.js:701:10)\n    at Object.<anonymous> (/usr/local/lib/node_modules/babel-cli/lib/_babel-node.js:154:22)\n    at Module._compile (module.js:660:30)","timestamp":"2018-05-18T21:14:11.445Z"}
{"level":"error","message":"Error: listen EADDRINUSE :::8080\n    at Object._errnoException (util.js:1003:13)\n    at _exceptionWithHostPort (util.js:1024:20)\n    at Server.setupListenHandle [as _listen2] (net.js:1367:14)\n    at listenInCluster (net.js:1408:12)\n    at Server.listen (net.js:1496:7)\n    at Function.listen (/Users/Juff/WebstormProjects/prozorroA/node_modules/express/lib/application.js:618:24)\n    at Object.<anonymous> (/Users/Juff/WebstormProjects/prozorroA/server/app.js:189:5)\n    at Module._compile (module.js:660:30)\n    at loader (/usr/local/lib/node_modules/babel-cli/node_modules/babel-register/lib/node.js:144:5)\n    at Object.require.extensions.(anonymous function) [as .js] (/usr/local/lib/node_modules/babel-cli/node_modules/babel-register/lib/node.js:154:7)\n    at Module.load (module.js:573:32)\n    at tryModuleLoad (module.js:513:12)\n    at Function.Module._load (module.js:505:3)\n    at Function.Module.runMain (module.js:701:10)\n    at Object.<anonymous> (/usr/local/lib/node_modules/babel-cli/lib/_babel-node.js:154:22)\n    at Module._compile (module.js:660:30)","timestamp":"2018-05-18T21:14:32.563Z"}
{"amount":27345563.68,"_id":"bb45b65898e04a08a6b9a831555eb59a","name":"ДЕРЖАВНЕ ПІДПРИЄМСТВО \"НАЦІОНАЛЬНА АТОМНА ЕНЕРГОГЕНЕРУЮЧА КОМПАНІЯ \"ЕНЕРГОАТОМ\"","startDate":"2018-06-15T11:38:30+03:00","awardCriteria":"lowestCost","tenderers":["DIMIDA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","SIA \"RAIDO TRADING\"","Товариство з обмеженою відповідальністю “Пауер-Експерт”"],"items":["Електричні акумулятори"],"classification_ids":["31430000-9"],"tenderID":"UA-2018-03-29-000260-c","title":"Акумуляторні батареї для ВП ЗАЕС","currency":"UAH","valueAddedTaxIncluded":true,"status":"Прекваліфікація (кваліфікація)","level":"info","message":"","timestamp":"2018-05-18T21:14:54.249Z"}
{"amount":14567300,"_id":"4de48ca74f8f40cd9c3d2ce2bd2453ef","name":"Управління освіти і науки Тернопільської обласної державної адміністрації","startDate":"2018-06-14T12:33:01+03:00","awardCriteria":"lowestCost","tenderers":["ТОВ \"ЕДВАНС КОМПАНІ\"","Товариство з обмеженою відповідальністю \"ВІВЕРЕ БЕНЕ 2\"","ТОВ \"ГЛОБАЛ ІНТЕГРЕЙШН ГРУП\"","ТОВ БМС ТЕХНО","Товариство з обмеженою відповідальністю \"Науково-виробниче підприємство \"Енглер\""],"items":["Машини для обробки даних (апаратна частина)"],"classification_ids":["30210000-4"],"tenderID":"UA-2018-03-28-000349-b","title":"Інтерактивні комплекси; обладнання для оснащення загальноосвітніх навчальних закладів засобами навчання","currency":"UAH","valueAddedTaxIncluded":true,"status":"Прекваліфікація (кваліфікація)","level":"info","message":"","timestamp":"2018-05-18T21:15:06.342Z"}
{"amount":13800000,"_id":"6ff9a303db374bdeb8033f56068efc4a","name":"Національний Банк України","awardCriteria":"lowestCost","items":["Машини для обробки даних (апаратна частина)","Машини для обробки даних (апаратна частина)"],"classification_ids":["30210000-4","30210000-4"],"tenderID":"UA-2018-05-18-002962-a","title":"Серверне обладнання, 2 лоти:  лот 1 – сервери; лот 2 – системи збереження даних","currency":"UAH","valueAddedTaxIncluded":true,"status":"Очікування пропозицій (пропозиції)","level":"info","message":"","timestamp":"2018-05-18T21:15:07.554Z"}
{"amount":9540200,"_id":"a6874655620c4fe0acc96f50e252be84","name":"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО \"СУМИОБЛЕНЕРГО\"","startDate":"2018-05-23T12:12:10+03:00","awardCriteria":"lowestCost","tenderers":["ТОВ \"ІНВЕСТИЦІЙНА РАДА\"","ТОВ \"СЛАВЕНЕРГОПРОМ ЛТД\"","НПО ІЗОЛЯТОР"],"items":["Ізоляційне приладдя","Ізоляційне приладдя","Ізоляційне приладдя","Ізоляційне приладдя","Ізоляційне приладдя","Ізоляційне приладдя","Ізоляційне приладдя","Ізоляційне приладдя","Ізоляційне приладдя","Ізоляційне приладдя","Ізоляційне приладдя","Ізоляційне приладдя"],"classification_ids":["31650000-7","31650000-7","31650000-7","31650000-7","31650000-7","31650000-7","31650000-7","31650000-7","31650000-7","31650000-7","31650000-7","31650000-7"],"tenderID":"UA-2018-02-21-001116-b","title":"Ізолятори","currency":"UAH","valueAddedTaxIncluded":true,"status":"Прекваліфікація (кваліфікація)","level":"info","message":"","timestamp":"2018-05-18T21:19:48.678Z"}
{"amount":59000000,"_id":"fa9a615ec7b34dd386d6df667d48aca2","name":"ДЕРЖАВНА СУДОВА АДМІНІСТРАЦІЯ УКРАЇНИ","startDate":"2018-07-24T13:55:23+03:00","awardCriteria":"lowestCost","items":["Сервери"],"classification_ids":["48820000-2"],"tenderID":"UA-2018-05-18-000746-b","title":"Сервери за кодом ДК 021:2015 - 48820000-2 (серверне та мережеве обладнання для функціонування Єдиної судової інформаційно-телекомунікаційної системи)","currency":"UAH","valueAddedTaxIncluded":true,"status":"Очікування пропозицій (пропозиції)","level":"info","message":"","timestamp":"2018-05-18T21:23:44.392Z"}
{"amount":5020000,"_id":"1af60e2f4f064fc5bc202a906d09bfb1","name":"Військова частина А1884","awardCriteria":"lowestCost","items":["Комп’ютерне обладнання","Комп’ютерне обладнання"],"classification_ids":["30230000-0","30230000-0"],"tenderID":"UA-2018-05-18-000878-c","title":"AV система для навчання та презентацій  (Робоче місце для викладача та навчаємих) (код ДК 021:2015 30230000-0 «Комп`ютерне обладнання»)","currency":"UAH","valueAddedTaxIncluded":true,"status":"Очікування пропозицій (пропозиції)","level":"info","message":"","timestamp":"2018-05-18T21:24:00.587Z"}
{"level":"error","message":"Error: connect ETIMEDOUT 195.178.150.111:443\n    at Object._errnoException (util.js:1003:13)\n    at _exceptionWithHostPort (util.js:1024:20)\n    at TCPConnectWrap.afterConnect [as oncomplete] (net.js:1195:14)","timestamp":"2018-05-18T21:24:38.832Z"}
